"Deaths Occurring (Number) by Age at Death, Sex, Area of Residence and"
"Year"

" "," "," ","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Under 1 year"
" ","Both sexes"
" "," ","Tipperary Town",..,0,..,0,..,..,..,..,..,..
" "," ","Tipperary",..,..,..,..,..,..,..,..,7,4
" "," ","Rest of South Tipperary",..,3,..,1,1,..,..,4,..,..
" "," ","Connacht",12,16,14,10,15,11,10,3,4,9
" "," ","Galway City",1,1,3,3,2,..,1,1,0,0
" "," ","Leitrim",2,1,1,0,..,..,1,..,0,4
" "," ","Mayo",1,1,2,2,6,1,3,..,1,2
" "," ","Ballina Town",..,0,..,0,1,..,..,..,..,..
" "," ","Castlebar Town",..,0,..,0,..,..,..,..,..,..
" "," ","Westport Town",..,0,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Mayo",1,1,2,2,5,..,..,..,..,..
" "," ","Roscommon",5,2,2,0,1,3,2,..,0,0
" "," ","Boyle",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Roscommon",..,..,..,0,1,..,..,..,..,..
" "," ","Sligo",1,3,2,2,2,2,1,1,0,0
" "," ","Sligo Borough",..,0,1,0,..,..,..,1,..,..
