"Deaths Occurring (Number) by Age at Death, Sex, Area of Residence and"
"Year"

" "," "," ","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Under 1 year"
" ","Both sexes"
" "," ","Rest of Co. Roscommon",..,..,..,67,65,..,..,52,..,..
" "," ","Sligo",47,66,59,72,59,60,63,64,78,66
" "," ","Sligo Borough",13,17,15,20,23,..,..,23,..,..
" "," ","Rest of Co. Sligo",34,49,44,52,36,..,..,41,..,..
" "," ","Galway County",156,139,156,133,154,139,155,124,137,127
" "," ","Ballinasloe Town",16,7,12,10,4,..,..,8,..,..
" "," ","Loughrea",..,..,..,5,6,..,..,4,..,..
" "," ","Tuam",..,..,..,9,10,..,..,3,..,..
" "," ","Rest of Co. Galway",140,132,144,109,134,..,..,109,..,..
" "," ","Ulster (pt)",255,252,271,234,254,242,248,271,285,262
" "," ","Cavan",52,72,71,63,61,50,48,60,63,64
" "," ","Cavan Town",3,6,6,9,4,..,..,4,..,..
" "," ","Belturbet",..,..,..,3,1,..,..,5,..,..
" "," ","Cootehill",..,..,..,2,5,..,..,2,..,..
" "," ","Rest of Co. Cavan",49,66,65,49,51,..,..,49,..,..
" "," ","Donegal",136,123,160,122,145,144,143,155,170,139
" "," ","Buncrana Town",4,8,10,3,5,..,..,1,..,..
" "," ","Bundoran Town",1,2,9,3,1,..,..,2,..,..
" "," ","Letterkenny Town",9,5,11,9,14,..,..,17,..,..
" "," ","Ballyshannon",..,..,..,1,3,..,..,2,..,..
" "," ","Rest of Co. Donegal",122,108,130,106,122,..,..,133,..,..
" "," ","Monaghan",67,57,40,49,48,48,57,56,52,59
" "," ","Carrickmacross Town",6,3,5,4,6,..,..,7,..,..
" "," ","Castleblaney Town",8,4,1,1,2,..,..,6,..,..
" "," ","Clones Town",2,4,1,7,5,..,..,4,..,..
" "," ","Monaghan Town",6,8,6,7,7,..,..,9,..,..
" "," ","Ballybay",..,..,..,1,0,..,..,..,..,..
" "," ","Rest of Co. Monaghan",45,38,27,29,28,..,..,30,..,..
" "," ","Outside the State",..,..,..,..,..,..,..,..,..,..
" ","Male"
" "," ","State",2071,2148,2134,2077,2134,2226,2273,2295,2317,2272
" "," ","Dublin City",296,296,273,275,271,290,282,288,282,254
" "," ","Fingal",56,59,73,60,69,75,85,77,89,100
" "," ","Balbriggan",..,..,..,3,4,..,..,1,..,..
" "," ","Rest of Fingal",..,..,..,..,65,..,..,..,..,..
" "," ","Dun Laoghaire Rathdown",92,102,102,94,103,97,111,100,99,102
" "," ","South Dublin",55,77,68,61,71,88,91,101,99,114
" "," ","Leinster",980,1032,1051,1005,1020,1133,1114,1138,1132,1143
" "," ","Wicklow",57,57,65,55,47,58,62,68,49,69
" "," ","Arklow Town",4,7,9,5,6,..,..,8,..,..
" "," ","Bray Town",12,10,13,11,15,..,..,24,..,..
" "," ","Wicklow Town",5,4,5,4,..,..,..,1,..,..
" "," ","Greystones",..,..,..,9,5,..,..,2,..,..
" "," ","Rest of Wicklow",36,36,38,26,21,..,..,33,..,..
" "," ","Carlow",14,36,29,29,26,31,21,31,29,21
" "," ","Carlow Town",1,8,10,14,13,..,..,11,..,..
" "," ","Bagenalstown (Muine Bheag)",..,..,..,0,3,..,..,4,..,..
" "," ","Rest of Co. Carlow",13,28,19,15,10,..,..,20,..,..
" "," ","Kildare",63,60,65,57,66,78,65,71,77,82
" "," ","Athy Town",1,5,7,4,3,..,..,6,..,..
" "," ","Naas Town",12,3,8,8,5,..,..,5,..,..
" "," ","Leixlip",..,..,..,2,2,..,..,2,..,..
" "," ","Newbridge (Droichead Nua)",..,..,..,8,8,..,..,10,..,..
" "," ","Rest of Co. Kildare",50,52,50,35,48,..,..,48,..,..
" "," ","Kilkenny",43,38,36,50,41,48,59,51,49,53
" "," ","Kilkenny Borough",6,7,7,16,12,..,..,8,..,..
" "," ","Rest of Co. Kilkenny",37,31,29,34,29,..,..,43,..,..
" "," ","Laois",20,40,37,28,35,35,43,34,30,37
" "," ","Mountmellick",..,..,..,2,4,..,..,3,..,..
" "," ","Portlaoise",..,..,..,3,5,..,..,3,..,..
" "," ","Rest of Co. Laois",..,..,..,23,26,..,..,28,..,..
" "," ","Longford",27,25,27,25,16,26,13,10,22,16
" "," ","Longford town",7,8,5,2,1,..,..,6,..,..
" "," ","Granard",..,..,..,1,..,..,..,1,..,..
" "," ","Rest of Co. Longford",20,17,22,22,15,..,..,3,..,..
" "," ","Louth",52,34,66,46,57,73,48,63,70,53
" "," ","Drogheda Borough",14,11,16,13,18,..,..,28,..,..
" "," ","Dundalk Town",20,7,15,12,23,..,..,13,..,..
" "," ","Ardee",..,..,..,1,2,..,..,1,..,..
" "," ","Rest of Co. Louth",18,16,35,20,14,..,..,21,..,..
" "," ","Meath",54,48,66,60,60,64,61,72,75,80
" "," ","Kells Town",2,1,5,2,2,..,..,2,..,..
" "," ","Navan Town",6,4,13,8,11,..,..,16,..,..
" "," ","Trim Town",2,2,3,4,2,..,..,..,..,..
" "," ","Rest of Co. Meath",44,41,45,46,45,..,..,54,..,..
" "," ","Offaly",33,29,34,37,30,35,34,28,26,38
" "," ","Birr Town",4,2,4,1,2,..,..,4,..,..
" "," ","Tullamore Town",6,7,7,8,4,..,..,1,..,..
" "," ","Edenderry",..,..,..,1,4,..,..,4,..,..
" "," ","Rest of Co. Offaly",23,20,23,27,20,..,..,19,..,..
" "," ","Westmeath",34,49,39,39,47,50,42,44,38,48
" "," ","Athlone Town",5,6,8,8,8,..,..,11,..,..
" "," ","Mullingar",..,..,..,11,6,..,..,8,..,..
" "," ","Rest of Co. Westmeath",29,43,31,20,33,..,..,25,..,..
" "," ","Wexford",84,82,71,86,81,85,97,95,98,76
" "," ","Enniscorthy Town",4,3,5,6,5,..,..,4,..,..
" "," ","New Ross Town",3,6,7,4,10,..,..,7,..,..
" "," ","Wexford Borough",11,7,9,14,15,..,..,17,..,..
" "," ","Gorey",..,..,..,2,4,..,..,5,..,..
" "," ","Rest of Co. Wexford",66,66,50,60,47,..,..,62,..,..
" "," ","Munster",633,653,638,661,659,660,726,719,725,704
" "," ","Waterford County",44,33,39,41,29,24,41,43,44,40
" "," ","Dungarvan Town",6,4,6,7,3,..,..,8,..,..
" "," ","Lismore",..,..,..,1,1,..,..,..,..,..
" "," ","Tramore",..,..,..,7,7,..,..,7,..,..
" "," ","Rest of Waterford",38,29,33,26,18,..,..,28,..,..
" "," ","Waterford City",20,27,21,27,31,27,35,27,29,25
" "," ","Clare",70,58,54,45,58,62,62,54,65,61
" "," ","Ennis Town",9,3,14,6,14,..,..,5,..,..
" "," ","Kilrush Town",5,0,4,2,3,..,..,5,..,..
" "," ","Shannon",..,..,..,5,6,..,..,10,..,..
" "," ","Kilkee",..,..,..,2,..,..,..,..,..,..
" "," ","Rest of Co. Clare",56,55,36,30,35,..,..,34,..,..
" "," ","Cork City",72,90,86,81,93,87,82,106,91,76
" "," ","Cork County",160,173,159,159,162,163,199,210,193,212
" "," ","Cobh Town",6,6,7,5,4,..,..,5,..,..
" "," ","Fermoy Town",5,2,2,0,3,..,..,2,..,..
" "," ","Kinsale Town",2,2,2,1,3,..,..,2,..,..
" "," ","Midleton Town",1,3,2,4,4,..,..,1,..,..
" "," ","Youghal Town",1,3,3,3,1,..,..,7,..,..
" "," ","Clonakilty Town",1,5,4,3,3,..,..,4,..,..
" "," ","Skibbereen Town",1,2,1,2,4,..,..,3,..,..
" "," ","Macroom Town",..,4,5,3,4,..,..,5,..,..
" "," ","Mallow Town",5,4,10,10,12,..,..,6,..,..
" "," ","Rest of Co. Cork",138,142,123,123,117,..,..,164,..,..
" "," ","Passage West",..,..,..,2,..,..,..,1,..,..
" "," ","Bandon",..,..,..,2,1,..,..,5,..,..
" "," ","Bantry",..,..,..,1,6,..,..,5,..,..
" "," ","Kerry",88,77,85,93,84,94,91,97,98,100
" "," ","Killarney Town",15,6,8,5,7,..,..,7,..,..
" "," ","Listowel Town",2,3,6,6,3,..,..,8,..,..
" "," ","Tralee Town",8,9,14,11,16,..,..,17,..,..
" "," ","Rest of Co. Kerry",63,59,57,71,58,..,..,65,..,..
" "," ","Limerick City",28,36,32,34,47,41,52,38,33,36
" "," ","Limerick County",52,66,67,81,71,77,68,58,80,70
" "," ","North Tipperary",38,52,39,36,39,44,43,34,..,..
" "," ","Nenagh Town",4,2,8,6,6,..,..,..,..,..
" "," ","Templemore Town",3,3,1,0,1,..,..,3,..,..
" "," ","Thurles Town",6,10,3,5,4,..,..,4,..,..
" "," ","Rest of North Tipperary",25,37,27,25,28,..,..,27,..,..
" "," ","South Tipperary",61,41,56,64,45,41,53,52,..,..
" "," ","Carrick-on-Suir Town",6,1,5,6,5,..,..,4,..,..
" "," ","Cashel Town",3,0,3,4,3,..,..,..,..,..
" "," ","Clonmel Borough",13,7,15,14,10,..,..,12,..,..
" "," ","Tipperary Town",4,0,5,3,2,..,..,7,..,..
" "," ","Tipperary",..,..,..,..,..,..,..,..,92,84
" "," ","Rest of South Tipperary",35,33,28,37,25,..,..,29,..,..
" "," ","Connacht",308,297,285,278,294,293,303,278,290,274
" "," ","Galway City",26,20,15,12,22,29,30,28,16,19
" "," ","Leitrim",26,26,27,27,15,24,25,21,18,28
" "," ","Mayo",89,88,77,73,73,87,78,83,85,77
" "," ","Ballina Town",8,5,11,5,2,..,..,8,..,..
" "," ","Castlebar Town",4,7,5,2,2,..,..,5,..,..
" "," ","Westport Town",1,1,4,2,1,..,..,5,..,..
" "," ","Rest of Co. Mayo",76,75,57,64,68,..,..,65,..,..
" "," ","Roscommon",39,44,30,44,48,37,44,29,41,38
" "," ","Boyle",..,..,..,1,4,..,..,..,..,..
" "," ","Rest of Co. Roscommon",..,..,..,43,44,..,..,29,..,..
" "," ","Sligo",35,39,32,37,37,38,32,37,48,39
" "," ","Sligo Borough",9,9,10,8,12,..,..,12,..,..
" "," ","Rest of Co. Sligo",26,30,22,29,25,..,..,25,..,..
" "," ","Galway County",93,80,104,85,99,78,94,80,82,73
" "," ","Ballinasloe Town",6,6,6,5,1,..,..,3,..,..
" "," ","Loughrea",..,..,..,3,1,..,..,3,..,..
" "," ","Tuam",..,..,..,5,7,..,..,3,..,..
" "," ","Rest of Co. Galway",87,74,98,72,90,..,..,71,..,..
" "," ","Ulster (pt)",150,166,160,133,161,140,130,160,170,151
" "," ","Cavan",29,46,43,38,38,29,28,33,39,40
" "," ","Cavan Town",..,4,1,4,3,..,..,3,..,..
" "," ","Belturbet",..,..,..,2,1,..,..,2,..,..
" "," ","Cootehill",..,..,..,1,4,..,..,1,..,..
" "," ","Rest of Co. Cavan",29,42,42,31,30,..,..,27,..,..
" "," ","Donegal",79,81,96,69,92,85,75,89,99,80
" "," ","Buncrana Town",2,7,8,2,2,..,..,..,..,..
" "," ","Bundoran Town",1,0,5,1,1,..,..,1,..,..
" "," ","Letterkenny Town",7,2,4,5,7,..,..,7,..,..
" "," ","Ballyshannon",..,..,..,1,3,..,..,2,..,..
" "," ","Rest of Co. Donegal",69,72,79,60,79,..,..,79,..,..
" "," ","Monaghan",42,39,21,26,31,26,27,38,32,31
" "," ","Carrickmacross Town",4,2,4,4,3,..,..,7,..,..
" "," ","Castleblaney Town",5,3,1,0,..,..,..,4,..,..
" "," ","Clones Town",2,3,..,4,3,..,..,3,..,..
" "," ","Monaghan Town",3,5,3,4,7,..,..,4,..,..
" "," ","Ballybay",..,..,..,1,..,..,..,..,..,..
" "," ","Rest of Co. Monaghan",28,26,13,13,18,..,..,20,..,..
" "," ","Outside the State",..,..,..,..,..,..,..,..,..,..
" ","Female"
" "," ","State",1611,1629,1603,1638,1597,1637,1697,1661,1689,1640
" "," ","Dublin City",266,279,244,232,249,278,254,242,261,227
" "," ","Fingal",56,58,48,53,52,57,60,73,69,70
" "," ","Balbriggan",..,..,..,1,4,..,..,4,..,..
" "," ","Rest of Fingal",..,..,..,..,48,..,..,..,..,..
" "," ","Dun Laoghaire Rathdown",74,76,90,94,81,100,82,101,80,88
" "," ","South Dublin",41,54,46,63,60,59,59,66,78,68
" "," ","Leinster",835,859,851,853,846,879,860,899,893,871
" "," ","Wicklow",37,37,48,36,44,39,49,39,61,63
" "," ","Arklow Town",4,1,5,3,7,..,..,3,..,..
" "," ","Bray Town",14,9,13,6,7,..,..,10,..,..
" "," ","Wicklow Town",1,4,1,0,7,..,..,2,..,..
" "," ","Greystones",..,..,..,1,3,..,..,3,..,..
" "," ","Rest of Wicklow",18,23,29,26,20,..,..,21,..,..
" "," ","Carlow",21,18,17,28,22,21,15,19,20,20
" "," ","Carlow Town",7,4,7,9,9,..,..,6,..,..
" "," ","Bagenalstown (Muine Bheag)",..,..,..,3,..,..,..,3,..,..
" "," ","Rest of Co. Carlow",14,14,10,19,13,..,..,13,..,..
" "," ","Kildare",40,40,47,50,54,48,52,54,45,55
" "," ","Athy Town",2,3,8,4,6,..,..,4,..,..
" "," ","Naas Town",5,7,4,4,8,..,..,7,..,..
" "," ","Leixlip",..,..,..,3,2,..,..,3,..,..
" "," ","Newbridge (Droichead Nua)",..,..,..,2,7,..,..,5,..,..
" "," ","Rest of Co. Kildare",33,30,35,37,31,..,..,35,..,..
" "," ","Kilkenny",28,31,38,37,33,34,38,33,38,36
" "," ","Kilkenny Borough",8,5,8,7,4,..,..,7,..,..
" "," ","Rest of Co. Kilkenny",20,26,30,30,29,..,..,26,..,..
" "," ","Laois",28,20,33,28,27,28,31,26,18,29
" "," ","Mountmellick",..,..,..,3,1,..,..,3,..,..
" "," ","Portlaoise",..,..,..,3,7,..,..,3,..,..
" "," ","Rest of Co. Laois",..,..,..,22,19,..,..,20,..,..
" "," ","Longford",12,16,16,26,15,9,8,24,12,16
" "," ","Longford town",2,3,4,5,5,..,..,6,..,..
" "," ","Granard",..,..,..,3,1,..,..,1,..,..
" "," ","Rest of Co. Longford",10,13,12,18,9,..,..,17,..,..
" "," ","Louth",41,46,49,43,47,43,44,44,49,45
" "," ","Drogheda Borough",13,13,21,7,13,..,..,11,..,..
" "," ","Dundalk Town",16,12,13,16,10,..,..,19,..,..
" "," ","Ardee",..,..,..,7,2,..,..,..,..,..
" "," ","Rest of Co. Louth",12,21,15,13,22,..,..,14,..,..
" "," ","Meath",60,52,53,47,49,53,52,57,43,45
" "," ","Kells Town",2,1,4,5,4,..,..,3,..,..
" "," ","Navan Town",11,5,6,7,6,..,..,12,..,..
" "," ","Trim Town",3,1,4,0,..,..,..,..,..,..
" "," ","Rest of Co. Meath",44,45,39,35,39,..,..,42,..,..
" "," ","Offaly",36,27,28,26,24,21,20,28,25,24
" "," ","Birr Town",1,1,1,1,4,..,..,1,..,..
" "," ","Tullamore Town",9,4,3,6,6,..,..,10,..,..
" "," ","Edenderry",..,..,..,3,3,..,..,1,..,..
" "," ","Rest of Co. Offaly",26,22,24,16,11,..,..,16,..,..
" "," ","Westmeath",31,35,35,33,26,26,28,31,24,29
" "," ","Athlone Town",7,9,7,8,9,..,..,5,..,..
" "," ","Mullingar",..,..,..,5,4,..,..,7,..,..
" "," ","Rest of Co. Westmeath",24,26,28,20,13,..,..,19,..,..
" "," ","Wexford",64,70,59,53,63,63,68,55,70,56
" "," ","Enniscorthy Town",11,4,8,5,3,..,..,3,..,..
" "," ","New Ross Town",5,3,3,4,7,..,..,4,..,..
" "," ","Wexford Borough",7,8,6,7,11,..,..,9,..,..
" "," ","Gorey",..,..,..,2,2,..,..,2,..,..
" "," ","Rest of Co. Wexford",41,55,42,35,40,..,..,37,..,..
" "," ","Munster",471,491,467,493,470,471,516,470,506,470
" "," ","Waterford County",23,30,32,26,24,27,19,21,34,20
" "," ","Dungarvan Town",4,6,6,7,4,..,..,..,..,..
" "," ","Lismore",..,..,..,1,1,..,..,1,..,..
" "," ","Tramore",..,..,..,5,3,..,..,5,..,..
" "," ","Rest of Waterford",19,24,26,13,16,..,..,15,..,..
" "," ","Waterford City",14,24,19,22,15,28,24,26,20,20
" "," ","Clare",37,40,29,37,40,40,51,48,51,27
" "," ","Ennis Town",3,13,6,3,9,..,..,7,..,..
" "," ","Kilrush Town",3,2,1,1,1,..,..,4,..,..
" "," ","Shannon",..,..,..,4,3,..,..,4,..,..
" "," ","Kilkee",..,..,..,1,2,..,..,1,..,..
" "," ","Rest of Co. Clare",31,25,22,28,25,..,..,32,..,..
" "," ","Cork City",87,58,56,72,66,71,77,50,69,51
" "," ","Cork County",113,124,126,141,139,116,113,128,121,133
" "," ","Cobh Town",5,2,1,7,10,..,..,6,..,..
" "," ","Fermoy Town",..,2,4,3,1,..,..,3,..,..
" "," ","Kinsale Town",..,3,3,1,..,..,..,1,..,..
" "," ","Midleton Town",1,2,6,5,1,..,..,2,..,..
" "," ","Youghal Town",2,1,9,4,5,..,..,4,..,..
" "," ","Clonakilty Town",..,1,1,2,1,..,..,4,..,..
" "," ","Skibbereen Town",2,1,1,7,2,..,..,2,..,..
" "," ","Macroom Town",..,3,3,1,3,..,..,3,..,..
" "," ","Mallow Town",9,3,5,3,4,..,..,3,..,..
" "," ","Rest of Co. Cork",94,106,93,102,105,..,..,97,..,..
" "," ","Passage West",..,..,..,2,2,..,..,2,..,..
" "," ","Bandon",..,..,..,0,4,..,..,..,..,..
" "," ","Bantry",..,..,..,4,1,..,..,1,..,..
" "," ","Kerry",55,59,56,60,61,61,67,47,55,70
" "," ","Killarney Town",6,7,7,4,9,..,..,4,..,..
" "," ","Listowel Town",1,3,3,6,2,..,..,1,..,..
" "," ","Tralee Town",8,14,16,11,14,..,..,9,..,..
" "," ","Rest of Co. Kerry",40,35,30,39,36,..,..,33,..,..
" "," ","Limerick City",29,36,32,26,30,20,39,40,28,26
" "," ","Limerick County",45,56,38,55,47,44,61,45,58,48
" "," ","North Tipperary",31,31,36,23,21,30,31,24,..,..
" "," ","Nenagh Town",4,1,7,2,1,..,..,4,..,..
" "," ","Templemore Town",3,1,1,1,1,..,..,4,..,..
" "," ","Thurles Town",3,4,6,6,2,..,..,2,..,..
" "," ","Rest of North Tipperary",21,25,22,14,17,..,..,14,..,..
" "," ","South Tipperary",37,33,43,31,27,34,34,41,..,..
" "," ","Carrick-on-Suir Town",4,1,3,3,3,..,..,2,..,..
" "," ","Cashel Town",2,0,3,2,1,..,..,2,..,..
" "," ","Clonmel Borough",10,9,8,8,6,..,..,10,..,..
" "," ","Tipperary Town",3,2,7,3,3,..,..,5,..,..
" "," ","Tipperary",..,..,..,..,..,..,..,..,70,75
" "," ","Rest of South Tipperary",18,21,22,15,14,..,..,22,..,..
" "," ","Connacht",200,193,174,191,188,185,203,181,175,188
" "," ","Galway City",14,21,5,14,19,9,19,14,11,21
" "," ","Leitrim",13,10,15,15,18,18,18,12,10,13
" "," ","Mayo",63,53,51,55,52,48,56,60,44,52
" "," ","Ballina Town",8,4,3,5,6,..,..,3,..,..
" "," ","Castlebar Town",8,3,5,4,2,..,..,5,..,..
" "," ","Westport Town",5,3,3,2,2,..,..,3,..,..
" "," ","Rest of Co. Mayo",42,43,40,44,42,..,..,49,..,..
" "," ","Roscommon",35,23,24,24,22,27,18,24,25,21
" "," ","Boyle",..,..,..,0,1,..,..,1,..,..
" "," ","Rest of Co. Roscommon",..,..,..,24,21,..,..,23,..,..
" "," ","Sligo",12,27,27,35,22,22,31,27,30,27
" "," ","Sligo Borough",4,8,5,12,11,..,..,11,..,..
" "," ","Rest of Co. Sligo",8,19,22,23,11,..,..,16,..,..
" "," ","Galway County",63,59,52,48,55,61,61,44,55,54
" "," ","Ballinasloe Town",10,1,6,5,3,..,..,5,..,..
" "," ","Loughrea",..,..,..,2,5,..,..,1,..,..
" "," ","Tuam",..,..,..,4,3,..,..,..,..,..
" "," ","Rest of Co. Galway",53,58,46,37,44,..,..,38,..,..
" "," ","Ulster (pt)",105,86,111,101,93,102,118,111,115,151
" "," ","Cavan",23,26,28,25,23,21,20,27,24,40
" "," ","Cavan Town",3,2,5,5,1,..,..,1,..,..
" "," ","Belturbet",..,..,..,1,..,..,..,3,..,..
" "," ","Cootehill",..,..,..,1,1,..,..,1,..,..
" "," ","Rest of Co. Cavan",20,24,23,18,21,..,..,22,..,..
" "," ","Donegal",57,42,64,53,53,59,68,66,71,80
" "," ","Buncrana Town",2,1,2,1,3,..,..,1,..,..
" "," ","Bundoran Town",..,2,4,2,..,..,..,1,..,..
" "," ","Letterkenny Town",2,3,7,4,7,..,..,10,..,..
" "," ","Ballyshannon",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Donegal",53,36,51,46,43,..,..,54,..,..
" "," ","Monaghan",25,18,19,23,17,22,30,18,20,31
" "," ","Carrickmacross Town",2,1,1,0,3,..,..,..,..,..
" "," ","Castleblaney Town",3,1,..,1,2,..,..,2,..,..
" "," ","Clones Town",..,1,1,3,2,..,..,1,..,..
" "," ","Monaghan Town",3,3,3,3,..,..,..,5,..,..
" "," ","Ballybay",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Monaghan",17,12,14,16,10,..,..,10,..,..
" "," ","Outside the State",..,..,..,..,..,..,..,..,..,..
"80 - 84 years"
" ","Both sexes"
" "," ","State",4670,4602,4843,4847,4794,4877,5061,5013,5101,4965
" "," ","Dublin City",695,672,698,742,692,760,666,681,686,687
" "," ","Fingal",121,124,163,120,121,151,141,151,163,169
" "," ","Balbriggan",..,..,..,7,9,..,..,9,..,..
" "," ","Rest of Fingal",..,..,..,..,112,..,..,..,..,..
" "," ","Dun Laoghaire Rathdown",275,227,269,266,269,263,252,286,289,238
" "," ","South Dublin",118,172,121,137,167,168,185,195,203,205
" "," ","Leinster",2306,2267,2350,2429,2346,2405,2421,2564,2618,2488
" "," ","Wicklow",122,128,128,126,126,125,120,140,154,132
" "," ","Arklow Town",8,11,15,13,14,..,..,20,..,..
" "," ","Bray Town",32,38,31,35,38,..,..,44,..,..
" "," ","Wicklow Town",12,7,13,9,10,..,..,5,..,..
" "," ","Greystones",..,..,..,12,6,..,..,8,..,..
" "," ","Rest of Wicklow",70,72,69,57,58,..,..,63,..,..
" "," ","Carlow",49,59,65,60,53,63,63,47,70,59
" "," ","Carlow Town",12,16,23,26,14,..,..,13,..,..
" "," ","Bagenalstown (Muine Bheag)",..,..,..,1,4,..,..,10,..,..
" "," ","Rest of Co. Carlow",37,43,42,34,35,..,..,34,..,..
" "," ","Kildare",117,110,122,122,126,112,139,140,164,149
" "," ","Athy Town",2,10,19,9,15,..,..,6,..,..
" "," ","Naas Town",14,6,18,11,21,..,..,21,..,..
" "," ","Leixlip",..,..,..,6,5,..,..,5,..,..
" "," ","Newbridge (Droichead Nua)",..,..,..,12,15,..,..,8,..,..
" "," ","Rest of Co. Kildare",101,94,85,84,70,..,..,100,..,..
" "," ","Kilkenny",107,97,93,103,93,87,108,98,112,108
" "," ","Kilkenny Borough",16,13,20,22,20,..,..,14,..,..
" "," ","Rest of Co. Kilkenny",91,84,73,81,73,..,..,84,..,..
" "," ","Laois",87,78,72,78,62,75,68,92,73,72
" "," ","Mountmellick",..,..,..,5,6,..,..,10,..,..
" "," ","Portlaoise",..,..,..,12,8,..,..,9,..,..
" "," ","Rest of Co. Laois",..,..,..,61,48,..,..,73,..,..
" "," ","Longford",48,42,47,53,40,46,49,47,45,41
" "," ","Longford town",8,5,12,9,8,..,..,11,..,..
" "," ","Granard",..,..,..,2,4,..,..,3,..,..
" "," ","Rest of Co. Longford",40,37,35,42,28,..,..,33,..,..
" "," ","Louth",115,113,118,117,105,124,114,145,123,140
" "," ","Drogheda Borough",39,17,25,34,19,..,..,38,..,..
" "," ","Dundalk Town",28,40,46,40,40,..,..,46,..,..
" "," ","Ardee",..,..,..,8,6,..,..,6,..,..
" "," ","Rest of Co. Louth",48,56,47,35,40,..,..,55,..,..
" "," ","Meath",129,130,140,145,137,139,149,141,158,140
" "," ","Kells Town",8,2,8,5,7,..,..,6,..,..
" "," ","Navan Town",19,11,26,16,21,..,..,21,..,..
" "," ","Trim Town",3,3,7,6,7,..,..,2,..,..
" "," ","Rest of Co. Meath",99,114,99,118,102,..,..,112,..,..
" "," ","Offaly",83,79,59,74,72,74,92,96,79,71
" "," ","Birr Town",9,4,3,10,4,..,..,13,..,..
" "," ","Tullamore Town",16,8,18,8,15,..,..,19,..,..
" "," ","Edenderry",..,..,..,4,9,..,..,8,..,..
" "," ","Rest of Co. Offaly",58,67,38,52,44,..,..,56,..,..
" "," ","Westmeath",93,86,104,109,114,74,102,104,106,82
" "," ","Athlone Town",16,12,17,23,26,..,..,20,..,..
" "," ","Mullingar",..,..,..,20,14,..,..,16,..,..
" "," ","Rest of Co. Westmeath",77,74,87,66,74,..,..,68,..,..
" "," ","Wexford",147,150,151,169,169,144,173,182,193,195
" "," ","Enniscorthy Town",13,8,22,15,16,..,..,11,..,..
" "," ","New Ross Town",9,6,8,7,14,..,..,5,..,..
" "," ","Wexford Borough",19,16,30,20,23,..,..,24,..,..
" "," ","Gorey",..,..,..,6,10,..,..,11,..,..
" "," ","Rest of Co. Wexford",106,120,91,121,106,..,..,131,..,..
" "," ","Munster",1418,1380,1467,1462,1482,1472,1644,1477,1529,1519
" "," ","Waterford County",85,87,91,70,75,66,82,66,85,81
" "," ","Dungarvan Town",12,11,10,10,12,..,..,10,..,..
" "," ","Lismore",..,..,..,6,5,..,..,3,..,..
" "," ","Tramore",..,..,..,4,6,..,..,5,..,..
" "," ","Rest of Waterford",73,76,81,50,52,..,..,48,..,..
" "," ","Waterford City",39,59,46,59,65,55,69,61,59,61
" "," ","Clare",121,114,106,127,128,132,154,116,142,117
" "," ","Ennis Town",23,17,17,17,24,..,..,18,..,..
" "," ","Kilrush Town",6,3,11,6,6,..,..,7,..,..
" "," ","Shannon",..,..,..,7,2,..,..,5,..,..
" "," ","Kilkee",..,..,..,1,2,..,..,6,..,..
" "," ","Rest of Co. Clare",92,94,78,96,94,..,..,80,..,..
" "," ","Cork City",169,161,213,179,160,176,208,196,177,194
" "," ","Cork County",345,371,387,423,389,402,436,405,410,439
" "," ","Cobh Town",5,7,8,11,15,..,..,13,..,..
" "," ","Fermoy Town",2,7,3,5,6,..,..,6,..,..
" "," ","Kinsale Town",3,3,12,5,5,..,..,6,..,..
" "," ","Midleton Town",6,8,2,4,7,..,..,4,..,..
" "," ","Youghal Town",1,5,14,10,9,..,..,14,..,..
" "," ","Clonakilty Town",3,5,7,11,9,..,..,3,..,..
" "," ","Skibbereen Town",4,6,10,6,2,..,..,6,..,..
" "," ","Macroom Town",2,4,5,6,13,..,..,8,..,..
" "," ","Mallow Town",17,7,24,15,12,..,..,7,..,..
" "," ","Rest of Co. Cork",302,319,302,335,296,..,..,320,..,..
" "," ","Passage West",..,..,..,4,8,..,..,6,..,..
" "," ","Bandon",..,..,..,5,5,..,..,3,..,..
" "," ","Bantry",..,..,..,6,2,..,..,9,..,..
" "," ","Kerry",176,185,224,182,222,203,213,189,185,208
" "," ","Killarney Town",14,12,22,12,19,..,..,18,..,..
" "," ","Listowel Town",4,4,10,4,12,..,..,9,..,..
" "," ","Tralee Town",27,19,33,23,37,..,..,32,..,..
" "," ","Rest of Co. Kerry",131,150,159,143,154,..,..,130,..,..
" "," ","Limerick City",78,68,92,68,88,95,84,92,98,69
" "," ","Limerick County",171,144,126,143,139,145,161,138,169,138
" "," ","North Tipperary",117,97,88,96,102,86,115,92,..,..
" "," ","Nenagh Town",18,8,11,18,8,..,..,13,..,..
" "," ","Templemore Town",1,4,..,2,2,..,..,3,..,..
" "," ","Thurles Town",23,6,12,17,12,..,..,12,..,..
" "," ","Rest of North Tipperary",75,79,65,59,80,..,..,64,..,..
" "," ","South Tipperary",117,94,94,115,114,112,122,122,..,..
" "," ","Carrick-on-Suir Town",8,13,6,17,11,..,..,8,..,..
" "," ","Cashel Town",7,5,11,7,5,..,..,6,..,..
